Towncenter,Suburb
North Canberra,Acton
North Canberra,Ainslie
Gungahlin,Amaroo
Belconnen,Aranda
Tuggeranong,Banks
South Canberra,Barton
Belconnen,Belconnen
Gungahlin,Bonner
Tuggeranong,Bonython
North Canberra,Braddon
Belconnen,Bruce
Tuggeranong,Calwell
North Canberra,Campbell
South Canberra,Capital Hill
Gungahlin,Casey
Weston Creek,Chapman
Belconnen,Charnwood
Woden Valley,Chifley
Tuggeranong,Chisholm
North Canberra,City
Tuggeranong,Conder
Belconnen,Cook
Molonglo Valley,Coombs
Gungahlin,Crace
Woden Valley,Curtin
South Canberra,Deakin
Molonglo Valley,Denman Prospect
North Canberra,Dickson
North Canberra,Downer
Weston Creek,Duffy
Belconnen,Dunlop
Belconnen,Evatt
Tuggeranong,Fadden
Woden Valley,Farrer
Weston Creek,Fisher
Belconnen,Florey
Belconnen,Flynn
Gungahlin,Forde
South Canberra,Forrest
Gungahlin,Franklin
Belconnen,Fraser
South Canberra,Fyshwick
Woden Valley,Garran
Tuggeranong,Gilmore
Belconnen,Giralang
Tuggeranong,Gordon
Tuggeranong,Gowrie
Tuggeranong,Greenway
South Canberra,Griffith
Gungahlin,Gungahlin
North Canberra,Hackett
Gungahlin,Harrison
Belconnen,Hawker
Belconnen,Higgins
Weston Creek,Holder
Belconnen,Holt
Woden Valley,Hughes
Tuggeranong,Hume
Woden Valley,Isaacs
Tuggeranong,Isabella Plains
Gungahlin,Jacka
Belconnen,Kaleen
Tuggeranong,Kambah
South Canberra,Kingston
Belconnen,Latham
Belconnen,Lawson
North Canberra,Lyneham
Woden Valley,Lyons
Tuggeranong,Macarthur
Belconnen,Macgregor
Belconnen,Macnamara
Belconnen,Macquarie
Woden Valley,Mawson
Belconnen,McKellar
Belconnen,Melba
Gungahlin,Mitchell
Molonglo Valley,Molonglo
Tuggeranong,Monash
Gungahlin,Moncrieff
South Canberra,Narrabundah
Gungahlin,Ngunnawal
Gungahlin,Nicholls
North Canberra,O'Connor
Woden Valley,O'Malley
Tuggeranong,Oxley
Belconnen,Page
Gungahlin,Palmerston
South Canberra,Parkes
North Canberra,Parkes
Woden Valley,Pearce
Woden Valley,Phillip
South Canberra,Red Hill
North Canberra,Reid
Tuggeranong,Richardson
Weston Creek,Rivett
North Canberra,Russell
Belconnen,Scullin
Belconnen,Spence
Weston Creek,Stirling
Belconnen,Strathnairn
Gungahlin,Taylor
Tuggeranong,Theodore
Gungahlin,Throsby
Woden Valley,Torrens
North Canberra,Turner
Tuggeranong,Wanniassa
Weston Creek,Waramanga
North Canberra,Watson
Belconnen,Weetangera
Weston Creek,Weston
Molonglo Valley,Whitlam
Molonglo Valley,Wright
South Canberra,Yarralumla
