Towncenter,Suburb,Postcode,Latitude,Longitude
North Canberra,Acton,2601,-35.2852323,149.1129681
North Canberra,Ainslie,2602,-35.2621952,149.14788
Gungahlin,Amaroo,2914,-35.169587,149.1280212
Belconnen,Aranda,2614,-35.2580548,149.0804262
Tuggeranong,Banks,2906,-35.4718891,149.0996568
South Canberra,Barton,2600,-35.3072631,149.1404986
Belconnen,Belconnen,2616,-35.2274338,149.0431454
Gungahlin,Bonner,2914,-35.1559621,149.1429557
Tuggeranong,Bonython,2905,-35.4333083,149.078276
North Canberra,Braddon,2612,-35.2708149,149.135735
Belconnen,Bruce,2617,-35.2453517,149.0916334
Tuggeranong,Calwell,2905,-35.4403858,149.1071069
North Canberra,Campbell,2612,-35.2913397,149.158176
South Canberra,Capital Hill,2600,-35.3081804,149.1244213
Gungahlin,Casey,2913,-35.1670015,149.0947152
Weston Creek,Chapman,2611,-35.3562094,149.0374543
Belconnen,Charnwood,2615,-35.2001777,149.0341356
Woden Valley,Chifley,2606,-35.3532951,149.0768898
Tuggeranong,Chisholm,2905,-35.4219655,149.1248452
North Canberra,City,2601,-35.2812678,149.1291868
Tuggeranong,Conder,2906,-35.4592733,149.1043282
Belconnen,Cook,2614,-35.2601034,149.0663657
Molonglo Valley,Coombs,2611,-35.3167344,149.0425254
Gungahlin,Crace,2911,-35.2028802,149.1074742
Woden Valley,Curtin,2605,-35.3246324,149.0773776
South Canberra,Deakin,2600,-35.3192746,149.1030764
Molonglo Valley,Denman Prospect,2611,-35.2964152,149.0248095
North Canberra,Dickson,2602,-35.2527861,149.1417216
North Canberra,Downer,2602,-35.2438315,149.1435455
Weston Creek,Duffy,2611,-35.3345516,149.0318996
Belconnen,Dunlop,2615,-35.1939974,149.0198014
Belconnen,Evatt,2617,-35.211832,149.068948
Tuggeranong,Fadden,2904,-35.4018617,149.1176101
Woden Valley,Farrer,2607,-35.3766895,149.1050381
Weston Creek,Fisher,2611,-35.3612627,149.0568756
Belconnen,Florey,2615,-35.2257904,149.0501748
Belconnen,Flynn,2615,-35.2058369,149.0440634
Gungahlin,Forde,2914,-35.168224,149.1460688
South Canberra,Forrest,2603,-35.3172087,149.1248559
Gungahlin,Franklin,2913,-35.1994538,149.1433014
Belconnen,Fraser,2615,-35.1917124,149.0453179
South Canberra,Fyshwick,2609,-35.3216575,149.1708774
Woden Valley,Garran,2605,-35.3413973,149.1085392
Tuggeranong,Gilmore,2905,-35.4150113,149.1382782
Belconnen,Giralang,2617,-35.2109388,149.0959916
Tuggeranong,Gordon,2906,-35.4567263,149.0850656
Tuggeranong,Gowrie,2904,-35.4118165,149.1091063
Tuggeranong,Greenway,2900,-35.4158082,149.0648149
South Canberra,Griffith,2603,-35.3253499,149.1371297
Gungahlin,Gungahlin,2912,-35.1788782,149.123653
North Canberra,Hackett,2602,-35.2495093,149.1635441
Gungahlin,Harrison,2914,-35.1990601,149.1561261
Belconnen,Hawker,2614,-35.2470444,149.0366967
Belconnen,Higgins,2615,-35.2324074,149.0272318
Weston Creek,Holder,2611,-35.3344827,149.0461678
Belconnen,Holt,2615,-35.2243961,149.0119295
Woden Valley,Hughes,2605,-35.3326252,149.0949433
Tuggeranong,Hume,2620,-35.3853817,149.1658468
Woden Valley,Isaacs,2607,-35.3684711,149.1130988
Tuggeranong,Isabella Plains,2905,-35.4280072,149.0940088
Gungahlin,Jacka,2914,-35.1495163,149.1304298
Belconnen,Kaleen,2617,-35.2277875,149.1091388
Tuggeranong,Kambah,2902,-35.3862287,149.0579669
South Canberra,Kingston,2604,-35.3152303,149.1465925
Belconnen,Latham,2615,-35.2163913,149.0316392
Belconnen,Lawson,2617,-35.224992,149.0881795
North Canberra,Lyneham,2602,-35.239801,149.1307354
Woden Valley,Lyons,2606,-35.3405584,149.0739377
Tuggeranong,Macarthur,2904,-35.4051323,149.1316729
Belconnen,Macgregor,2615,-35.2097738,149.0110215
Belconnen,Macnamara,2615,-35.2186569,148.9764412
Belconnen,Macquarie,2614,-35.2511133,149.0633056
Woden Valley,Mawson,2607,-35.3633679,149.0988944
Belconnen,McKellar,2617,-35.2174626,149.0770321
Belconnen,Melba,2615,-35.2100744,149.0541275
Gungahlin,Mitchell,2911,-35.2188934,149.1363833
Molonglo Valley,Molonglo,0,-35.299828,149.0401986
Tuggeranong,Monash,2904,-35.4157378,149.0906903
Gungahlin,Moncrieff,2914,-35.158821,149.1163057
South Canberra,Narrabundah,2604,-35.3356919,149.1492215
Gungahlin,Ngunnawal,2913,-35.1727896,149.1114681
Gungahlin,Nicholls,2913,-35.1871606,149.0964814
North Canberra,O'Connor,2602,-35.2566001,149.1155972
Woden Valley,O'Malley,2606,-35.3513599,149.1106871
Tuggeranong,Oxley,2903,-35.4094421,149.0786481
Belconnen,Page,2614,-35.2385472,149.0499405
Gungahlin,Palmerston,2913,-35.1944606,149.1194145
South Canberra,Parkes,2600,-35.2959153,149.1351557
Woden Valley,Pearce,2607,-35.36217,149.0835894
