Suburb,Towncenter,Postcode,Latitude,Longitude,Nearest,Median Price,venue count
Acton,North Canberra,2601,-35.2852323,149.1129681,2.921056703171762,3044.7333344232666,100.0
Ainslie,North Canberra,2602,-35.26219520000001,149.14788000000001,1.4135314863084656,14295.0,61.0
Amaroo,Gungahlin,2914,-35.169587,149.12802119999998,1.1067987082092283,726.0,38.0
Aranda,Belconnen,2614,-35.2580548,149.08042619999998,4.783947837934028,3044.7333344232666,29.0
Banks,Tuggeranong,2906,-35.4718891,149.09965680000002,5.702030557076247,655.0,9.0
Barton,South Canberra,2600,-35.3072631,149.1404986,1.2947511442469175,3044.7333344232666,92.0
Belconnen,Belconnen,2616,-35.2274338,149.04314540000001,0.0,3044.7333344232666,12.0
Bonner,Gungahlin,2914,-35.1559621,149.1429557,3.0938179328963966,683.5,7.0
Bonython,Tuggeranong,2905,-35.4333083,149.078276,1.8592367521573172,687.5,8.0
Braddon,North Canberra,2612,-35.2708149,149.135735,0.7716864199834108,3044.7333344232666,93.0
Bruce,Belconnen,2617,-35.24535170000001,149.0916334,4.2751458206856485,3044.7333344232666,28.0
Calwell,Tuggeranong,2905,-35.440385799999994,149.10710690000002,2.549109443657001,677.5,10.0
Campbell,North Canberra,2612,-35.29133970000001,149.158176,3.6834729929058185,14565.0,34.0
Capital Hill,South Canberra,2600,-35.3081804,149.12442130000002,1.0860577959413114,3044.7333344232666,100.0
Casey,Gungahlin,2913,-35.167001500000005,149.09471519999997,2.943162983454932,679.0,6.0
Chapman,Weston Creek,2611,-35.3562094,149.0374543,1.7057238530273418,6954.7249839332435,5.0
Charnwood,Belconnen,2615,-35.2001777,149.03413559999998,3.1393271934863978,1119.3280624726776,8.0
Chifley,Woden Valley,2606,-35.3532951,149.0768898,1.6023803882536674,6688.004946198507,36.0
Chisholm,Tuggeranong,2905,-35.421965500000006,149.12484519999998,2.966122311694713,685.5,17.0
City,North Canberra,2601,-35.281267799999995,149.1291868,1.902093789562092,3044.7333344232666,100.0
Conder,Tuggeranong,2906,-35.45927329999999,149.1043282,4.399306823311448,648.0,10.0
Cook,Belconnen,2614,-35.2601034,149.06636569999998,4.20037934147278,3044.7333344232666,31.0
Coombs,Molonglo Valley,2611,-35.3167344,149.0425254,1.6235475390018002,788.5,5.0
Crace,Gungahlin,2911,-35.2028802,149.10747419999998,3.04705940222438,776.0,7.0
Curtin,Woden Valley,2605,-35.3246324,149.07737759999998,3.1866272447900608,6244.0,11.0
Deakin,South Canberra,2600,-35.31927460000001,149.1030764,2.584545849500172,15165.0,20.0
Denman Prospect,Molonglo Valley,2611,-35.2964152,149.0248095,1.154764825864888,658.7984932047983,3.0
Dickson,North Canberra,2602,-35.2527861,149.1417216,1.5353471493977873,1898.8601059804355,58.0
Downer,North Canberra,2602,-35.2438315,149.14354550000002,2.494032393002616,952.5,58.0
Duffy,Weston Creek,2611,-35.3345516,149.0318996,1.7454545585556671,789.0,11.0
Dunlop,Belconnen,2615,-35.1939974,149.0198014,4.280315706287971,659.0,9.0
Evatt,Belconnen,2617,-35.211832,149.068948,2.9161019311739884,739.0,10.0
Fadden,Tuggeranong,2904,-35.401861700000005,149.1176101,3.1382065304960105,600.1200849031562,28.0
Farrer,Woden Valley,2607,-35.376689500000005,149.1050381,3.145544742544768,6222.5,9.0
Fisher,Weston Creek,2611,-35.361262700000005,149.0568756,2.1504636015599163,763.0,8.0
Florey,Belconnen,2615,-35.2257904,149.0501748,0.6641345810324061,732.0,34.0
Flynn,Belconnen,2615,-35.2058369,149.0440634,2.4029165958139678,727.5,10.0
Forde,Gungahlin,2914,-35.168224,149.1460688,2.35681467123601,782.5,8.0
Forrest,South Canberra,2603,-35.31720870000001,149.1248559,0.5966170019815706,3044.7333344232666,73.0
Franklin,Gungahlin,2913,-35.19945379999999,149.14330139999998,2.902183152843574,730.0,24.0
Fraser,Belconnen,2615,-35.1917124,149.0453179,3.9769448245000873,3044.7333344232666,11.0
Fyshwick,South Canberra,2609,-35.3216575,149.1708774,3.641686438274268,3044.7333344232666,45.0
Garran,Woden Valley,2605,-35.3413973,149.1085392,1.6163447003941962,8988.465271660607,11.0
Gilmore,Tuggeranong,2905,-35.415011299999996,149.1382782,4.2337771542241285,674.5,10.0
Giralang,Belconnen,2617,-35.2109388,149.0959916,4.361992531819264,776.0,8.0
Gordon,Tuggeranong,2906,-35.4567263,149.0850656,4.026384199512485,665.0,11.0
