Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Acton,-35.2852323,149.1129681,Group Seven Espresso,-35.28186438585285,149.12463861252849,Coffee Shop
Acton,-35.2852323,149.1129681,Llewellyn Hall,-35.28060394098876,149.12344201033173,Concert Hall
Acton,-35.2852323,149.1129681,Two Before Ten,-35.27975337660723,149.12622928619385,Café
Acton,-35.2852323,149.1129681,Harvest,-35.278223,149.126675,Coffee Shop
Acton,-35.2852323,149.1129681,Mezzalira Ristorante,-35.27930776036863,149.12774819224128,Italian Restaurant
Acton,-35.2852323,149.1129681,Palace Electric Cinema,-35.28501393891589,149.12313456565843,Multiplex
Acton,-35.2852323,149.1129681,The Cupping Room,-35.280471715528144,149.12610648638585,Coffee Shop
Acton,-35.2852323,149.1129681,Commonwealth Park,-35.28889224778605,149.13146495819092,Park
Acton,-35.2852323,149.1129681,Bar Rochford,-35.27925,149.1282,Wine Bar
Acton,-35.2852323,149.1129681,Ovolo Nishi,-35.2850695488735,149.12274777889252,Hotel
Acton,-35.2852323,149.1129681,Impact Comics,-35.27840533085837,149.13202386395545,Comic Shop
Acton,-35.2852323,149.1129681,Brew Nation,-35.27868,149.12983,Beer Bar
Acton,-35.2852323,149.1129681,Močan and Green Grout,-35.284577558296746,149.12502859283262,Café
Acton,-35.2852323,149.1129681,Guzman Y Gomez,-35.27861826668675,149.13317527116396,Mexican Restaurant
Acton,-35.2852323,149.1129681,Australian National Botanic Gardens,-35.2791902825526,149.10943865776062,Botanical Garden
Acton,-35.2852323,149.1129681,Hippo Co.,-35.278382054145304,149.13176799154752,Whisky Bar
Acton,-35.2852323,149.1129681,Mingle Espresso,-35.28236184817262,149.13225472296946,Coffee Shop
Acton,-35.2852323,149.1129681,Kinn Thai,-35.27778753064333,149.13260757923126,Thai Restaurant
Acton,-35.2852323,149.1129681,Grill'd,-35.278091752706295,149.13283043779225,Burger Joint
Acton,-35.2852323,149.1129681,The Museum Cafe,-35.29296605910659,149.12171684920716,Café
Acton,-35.2852323,149.1129681,Lennox Gardens,-35.297837369036536,149.12275700001138,Park
Acton,-35.2852323,149.1129681,Iori Japanese Restaurant,-35.27889920949763,149.13055414863518,Japanese Restaurant
Acton,-35.2852323,149.1129681,Akiba,-35.27774845186362,149.13134083887,Asian Restaurant
Acton,-35.2852323,149.1129681,Blue Olive Cafe,-35.27829925223751,149.1283169211889,Café
Acton,-35.2852323,149.1129681,Koko Black,-35.27799510939021,149.132741689682,Chocolate Shop
Acton,-35.2852323,149.1129681,Temporada,-35.2760893647487,149.12825395278512,Tapas Restaurant
Acton,-35.2852323,149.1129681,QT Lounge,-35.283982,149.125324,Lounge
Acton,-35.2852323,149.1129681,National Museum of Australia,-35.29279114869303,149.1211737329443,History Museum
Acton,-35.2852323,149.1129681,The Glass House Cafe,-35.281791,149.1338667,Café
Acton,-35.2852323,149.1129681,T2,-35.280025948280574,149.13394397654997,Food & Drink Shop
Acton,-35.2852323,149.1129681,The Highball Express,-35.278480380707414,149.12853700338806,Cocktail Bar
Acton,-35.2852323,149.1129681,Cocorea,-35.27826531139629,149.13159370422363,Korean Restaurant
Acton,-35.2852323,149.1129681,Monster Kitchen and Bar,-35.28512248295839,149.12254705910743,Hotel Bar
Acton,-35.2852323,149.1129681,Spicy Ginger Café,-35.27728111324609,149.12527314364428,Chinese Restaurant
Acton,-35.2852323,149.1129681,National Library of Australia,-35.296504,149.129522,Library
Acton,-35.2852323,149.1129681,Bistro Nguyen's,-35.2784834741787,149.12887031364582,Vietnamese Restaurant
Acton,-35.2852323,149.1129681,Courgette,-35.27629696579478,149.12645294399857,Restaurant
Acton,-35.2852323,149.1129681,Tonic Espresso,-35.27759922030009,149.13046181201935,Coffee Shop
Acton,-35.2852323,149.1129681,Garema Place,-35.27840110527662,149.13183510303497,Plaza
Acton,-35.2852323,149.1129681,National Film & Sound Archive,-35.28313128783348,149.12114258170274,History Museum
Acton,-35.2852323,149.1129681,The Gods Café,-35.28282664148573,149.1196449162664,Coffee Shop
Acton,-35.2852323,149.1129681,Bicicletta,-35.284662203820375,149.1238787088419,Italian Restaurant
Acton,-35.2852323,149.1129681,Fitness First,-35.27751645125956,149.13276314735413,Gym
Acton,-35.2852323,149.1129681,Kokomo's,-35.27748,149.13191,Tiki Bar
Acton,-35.2852323,149.1129681,Hyatt Hotel Canberra - A Park Hyatt Hotel,-35.29927454265325,149.12431560779368,Hotel
Acton,-35.2852323,149.1129681,Smith's Alternative Bookshop,-35.278426087307224,149.12870844307903,Bookstore
Acton,-35.2852323,149.1129681,QT Canberra,-35.28377008305669,149.12589385853963,Hotel
Acton,-35.2852323,149.1129681,Capitol Bar & Grill,-35.284021884331764,149.12506099936968,Australian Restaurant
Acton,-35.2852323,149.1129681,iPho,-35.278190544637106,149.13186868997437,Vietnamese Restaurant
Acton,-35.2852323,149.1129681,The Games Capital,-35.27827645920961,149.13242977751875,Toy / Game Store
